name,short,sector,launch_year,beneficiaries_lakh,budget_crore,per_person_benefit,target_group,verdict,impact_score,reach_percent,description
Mukhyamantri Kanya Sumangala Yojana,MKSY,Women & Girl Child,2019,26.81,1200,"₹25,000 (6 installments birth to graduation)",Girl children from economically weaker families,Success,8.5,72,"Financial assistance to girl children in 6 stages from birth to graduation to promote health, education & gender equality."
Mukhyamantri Samuhik Vivah Yojana,MSVY,Women & Girl Child,2017,3.5,600,"₹51,000 per couple (increased over years)",Economically weaker section brides,Success,7.5,55,Financial assistance for mass weddings covering expenses for brides from economically weaker sections.
Mission Shakti,MS,Women & Girl Child,2020,50.0,3146,Multi-program umbrella scheme,All women and girls of UP,Success,8.0,60,"Umbrella initiative for women safety, dignity & empowerment through multiple sub-schemes."
Old Age Pension Scheme (SSPY),OAP,Social Security,2016,55.99,6700,"₹1,000/month",Citizens aged 60+ years,Success,8.0,78,Monthly financial assistance to eligible senior citizens through Aadhaar-based DBT.
Widow Pension Scheme (Nirashrit Mahila),WPS,Social Security,2016,29.03,3500,"₹1,000/month",Destitute widows,Moderate Success,7.0,65,Monthly financial support to destitute widows through DBT.
Divyang Pension Scheme,DPS,Social Security,2016,12.0,1440,"₹1,000/month",Persons with disabilities (40%+),Moderate Success,6.5,50,Monthly support to persons with disabilities through Aadhaar-linked DBT.
Rashtriya Parivarik Laabh Yojana,RPLY,Social Security,2016,5.0,1500,"₹30,000 per family (on breadwinner death)",BPL families who lost primary breadwinner,Mixed,5.0,35,One-time financial aid to BPL families upon death of primary earner.
UP Kisan Rin Mochan Yojana (Loan Waiver),KRM,Agriculture,2017,86.0,36000,"Up to ₹1,00,000 loan waiver",Small & marginal farmers with crop loans,Mixed,5.5,45,Waiver of agricultural loans up to ₹1 lakh for small and marginal farmers.
Mukhyamantri Krishak Durghatna Kalyan Yojana,MKDKY,Agriculture,2019,2.0,600,₹5-9 lakh (accident/death compensation),Farmers injured/killed during agricultural activities,Moderate Success,6.0,40,Financial aid to farmer families for accidental death or disability during farming.
Kisan Uday Yojana (Solar Pumps),KUY,Agriculture,2018,1.5,800,Free energy-efficient pump replacement,Farmers with old diesel/electric irrigation pumps,Underperformed,3.5,15,Replacement of inefficient irrigation pumps with energy-efficient solar pumps.
Kisan Asaan Kist Yojana,KAK,Agriculture,2018,8.0,400,Easy installment for electricity bills,Farmers with pending electricity dues,Mixed,4.5,30,Allows farmers to pay pending electricity bills in easy installments.
One District One Product (ODOP),ODOP,Employment & Industry,2018,25.0,6000,"Toolkits, training, market access, loans","Local artisans, MSME, craftspeople across 75 districts",Major Success,9.0,80,Flagship initiative promoting indigenous industries and local crafts in every district.
Sevayojan Portal (Employment Exchange),SEV,Employment & Industry,2018,15.0,150,"Job matching, employment fair access",Unemployed youth seeking jobs,Mixed,4.5,25,Digital platform connecting job seekers with employment opportunities and govt employment fairs.
CM Apprenticeship Promotion Scheme (CMAPS),CMAPS,Employment & Industry,2019,3.0,300,Apprenticeship + stipend supplement,Youth seeking industry training,Mixed,5.0,20,Encourages industries to train youth through apprenticeship with government-supplemented stipend.
Kaushal Satrang / YUVA Hub,KS,Employment & Industry,2018,5.0,500,Skill training across 7 programs,Unemployed youth,Underperformed,4.0,18,Umbrella skill development scheme with 7 sub-programs for youth employability.
Atal Residential Schools (Atal Awasiya Vidyalaya),ARS,Education,2021,0.1,500,Free CBSE residential education + all expenses,Children of construction workers & COVID orphans,Major Success,9.5,85,Free high-quality CBSE residential schools in every division for construction workers' children.
Pre-Matric & Post-Matric Scholarship,SCHOL,Education,2016,80.0,8000,"₹3,000-₹15,000/year depending on level","SC, OBC, Minority students",Success,8.0,70,Extensive scholarship programs for students from marginalized communities.
Free School Bag & Uniform Scheme,FSBU,Education,2017,160.0,2000,"Free bags, uniforms, shoes for govt school students",Government school students (Class 1-8),Success,7.5,85,Provides educational essentials to government school students to reduce dropout rates.
Ayushman Bharat PMJAY (UP Implementation),AB,Health,2018,45.0,7040,₹5 lakh health insurance/family/year,Poor and vulnerable families,Major Success,9.0,82,Health insurance coverage of ₹5 lakh per family for secondary & tertiary care hospitalization.
Mukhyamantri Jan Arogya Yojana,MJAY,Health,2019,10.0,1200,Supplementary health coverage,Families not covered under PMJAY,Moderate Success,6.0,35,State-specific health scheme to bridge gaps and provide additional coverage to vulnerable families.
"PMAY-Gramin (Rural Housing, UP)",PMAYG,Housing,2016,36.38,45000,₹1.20-1.30 lakh for pucca house construction,Rural poor without pucca houses,Major Success,9.5,95,"Providing pucca houses with toilet, electricity & gas connections to rural poor families."
"PMAY-Urban (Urban Housing, UP)",PMAYU,Housing,2016,17.0,25000,₹1.5-2.67 lakh subsidy for urban housing,Urban poor and EWS/LIG families,Success,8.0,75,Housing for urban poor with interest subsidy and construction assistance.
BC Sakhi (Banking Correspondent),BCS,Women & Girl Child,2020,0.5,200,"₹4,000/month + commission on transactions",Rural women for doorstep banking services,Success,8.0,65,Empowering rural women to provide banking services at grassroots level.
Mahila Samarthya Yojana,MSY,Women & Girl Child,2021,2.0,200,Skill training & entrepreneurship support,Women seeking skill development & self-employment,Too Early to Judge,5.0,20,Focuses on skill development and entrepreneurship promotion for women.
